"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","lambda"
0.0811130830789687,10.2780853280219,4.41313190456835e-07,"settled",NA,2.05
0.151991108295293,10.2780853280219,4.41313191381955e-07,"settled",NA,2.05
0.28480358684358,10.2780853280219,4.4131319170234e-07,"settled",NA,2.05
0.533669923120631,10.2780853280219,4.41313192061267e-07,"settled",NA,2.05
1,10.2780853280219,4.41313192124283e-07,"settled",NA,2.05
0.001,14.3374232887377,5.63297055431112e-07,"settled",NA,2.05
0.00187381742286038,14.3374232887377,6.16541386145957e-07,"settled",NA,2.05
0.00351119173421513,14.3374232887377,6.32411697759194e-07,"settled",NA,2.05
0.00657933224657568,14.3374232887377,6.34653431932778e-07,"settled",NA,2.05
0.0123284673944207,14.3374232887377,6.34775825506447e-07,"settled",NA,2.05
0.0231012970008316,14.3374232887377,6.34777823069147e-07,"settled",NA,2.05
0.0432876128108306,14.3374232887377,6.3477781787737e-07,"settled",NA,2.05
0.0811130830789687,14.3374232887377,6.34777818369267e-07,"settled",NA,2.05
0.151991108295293,14.3374232887377,6.34777818915319e-07,"settled",NA,2.05
0.28480358684358,14.3374232887377,6.34777818687507e-07,"settled",NA,2.05
0.533669923120631,14.3374232887377,6.34777818754694e-07,"settled",NA,2.05
1,14.3374232887377,6.34777818879732e-07,"settled",NA,2.05
0.001,20,8.04939357293443e-07,"settled",NA,2.05
0.00187381742286038,20,8.79212584544546e-07,"settled",NA,2.05
0.00351119173421513,20,9.01350869809897e-07,"settled",NA,2.05
0.00657933224657568,20,9.04477996318471e-07,"settled",NA,2.05
0.0123284673944207,20,9.04648726044738e-07,"settled",NA,2.05
0.0231012970008316,20,9.04651485383038e-07,"settled",NA,2.05
0.0432876128108306,20,9.04651493899992e-07,"settled",NA,2.05
0.0811130830789687,20,9.04651493848443e-07,"settled",NA,2.05
0.151991108295293,20,9.04651493667544e-07,"settled",NA,2.05
0.28480358684358,20,9.046514934413e-07,"settled",NA,2.05
0.533669923120631,20,9.04651493582655e-07,"settled",NA,2.05
1,20,9.04651493403894e-07,"settled",NA,2.05
0.001,1,3.86205497677565e-09,"settled",NA,2.1
0.00187381742286038,1,1.19603121026878e-09,"settled",NA,2.1
0.00351119173421513,1,3.55521547518563e-10,"settled",NA,2.1
0.00657933224657568,1,2.30061643973172e-10,"settled",NA,2.1
0.0123284673944207,1,2.22877496602191e-10,"settled",NA,2.1
0.0231012970008316,1,2.2278426446582e-10,"settled",NA,2.1
0.0432876128108306,1,2.22782280687417e-10,"settled",NA,2.1
0.0811130830789687,1,2.2278228062275e-10,"settled",NA,2.1
0.151991108295293,1,2.22782445893015e-10,"settled",NA,2.1
0.28480358684358,1,2.22782280569784e-10,"settled",NA,2.1
0.533669923120631,1,2.22782280559974e-10,"settled",NA,2.1
1,1,2.2278228055478e-10,"settled",NA,2.1
0.001,1.39495079396242,6.845723390944e-09,"settled",NA,2.1
0.00187381742286038,1.39495079396242,1.0564695631771e-08,"settled",NA,2.1
0.00351119173421513,1.39495079396242,1.17371635149531e-08,"settled",NA,2.1
